Femur,Province,Sex,WesternMediterranean,GreekEast,SouthEastEurope,NorthWestEurope,Date,Italy
458.40,29,0,1,0,0,0,500,0
458.64,29,0,1,0,0,0,500,0
458.16,29,0,1,0,0,0,500,0
457.86,29,0,1,0,0,0,500,0
457.95,29,0,1,0,0,0,500,0
457.71,29,0,1,0,0,0,500,0
458.00,30,0,1,0,0,0,-300,1
457.54,30,0,1,0,0,0,-300,1
455.91,30,0,1,0,0,0,-300,1
456.10,30,0,1,0,0,0,-300,1
457.02,30,0,1,0,0,0,-300,1
461.53,30,0,1,0,0,0,-300,1
461.84,30,0,1,0,0,0,-300,1
461.37,30,0,1,0,0,0,-300,1
459.74,30,0,1,0,0,0,-300,1
459.93,30,0,1,0,0,0,-300,1
460.85,30,0,1,0,0,0,-300,1
465.36,30,0,1,0,0,0,-300,1
466.65,30,0,1,0,0,0,-400,1
466.65,30,0,1,0,0,0,-400,1
466.65,30,0,1,0,0,0,-400,1
466.65,30,0,1,0,0,0,-400,1
463.11,30,0,1,0,0,0,-400,1
462.65,30,0,1,0,0,0,-400,1
461.02,30,0,1,0,0,0,-400,1
461.21,30,0,1,0,0,0,-400,1
462.13,30,0,1,0,0,0,-400,1
466.64,30,0,1,0,0,0,-400,1
468.16,29,0,1,0,0,0,500,0
467.46,29,0,1,0,0,0,500,0
467.44,29,0,1,0,0,0,500,0
467.24,29,0,1,0,0,0,500,0
468.24,29,0,1,0,0,0,500,0
468.48,29,0,1,0,0,0,500,0
469.07,29,0,1,0,0,0,500,0
469.27,29,0,1,0,0,0,500,0
469.90,29,0,1,0,0,0,500,0
470.14,29,0,1,0,0,0,500,0
469.65,29,0,1,0,0,0,500,0
469.35,29,0,1,0,0,0,500,0
469.45,29,0,1,0,0,0,500,0
469.20,29,0,1,0,0,0,500,0
464.85,3,0,1,0,0,0,-200,0
465.04,3,0,1,0,0,0,-200,0
465.96,3,0,1,0,0,0,-200,0
470.47,3,0,1,0,0,0,-200,0
467.16,3,0,1,0,0,0,-200,0
468.78,3,0,1,0,0,0,-200,0
468.68,3,0,1,0,0,0,-200,0
468.88,3,0,1,0,0,0,-200,0
469.79,3,0,1,0,0,0,-200,0
474.30,3,0,1,0,0,0,-200,0
470.99,3,0,1,0,0,0,-200,0
472.61,3,0,1,0,0,0,-200,0
476.28,15,0,1,0,0,0,650,0
476.52,15,0,1,0,0,0,650,0
476.04,15,0,1,0,0,0,650,0
475.74,15,0,1,0,0,0,650,0
478.14,30,0,1,0,0,0,-400,1
478.14,30,0,1,0,0,0,-400,1
478.14,30,0,1,0,0,0,-400,1
478.14,30,0,1,0,0,0,-400,1
474.61,30,0,1,0,0,0,-400,1
474.14,30,0,1,0,0,0,-400,1
472.52,30,0,1,0,0,0,-400,1
472.71,30,0,1,0,0,0,-400,1
473.62,30,0,1,0,0,0,-400,1
478.13,30,0,1,0,0,0,-400,1
475.89,30,0,1,0,0,0,-300,1
475.42,30,0,1,0,0,0,-300,1
473.79,30,0,1,0,0,0,-300,1
473.98,30,0,1,0,0,0,-300,1
474.90,30,0,1,0,0,0,-300,1
479.41,30,0,1,0,0,0,-300,1
482.27,30,0,1,0,0,0,-300,1
481.80,30,0,1,0,0,0,-300,1
480.18,30,0,1,0,0,0,-300,1
480.37,30,0,1,0,0,0,-300,1
481.29,30,0,1,0,0,0,-300,1
485.80,30,0,1,0,0,0,-300,1
488.66,30,0,1,0,0,0,-300,1
488.19,30,0,1,0,0,0,-300,1
486.56,30,0,1,0,0,0,-300,1
486.76,30,0,1,0,0,0,-300,1
487.67,30,0,1,0,0,0,-300,1
492.18,30,0,1,0,0,0,-300,1
401.06,44,0,1,0,0,0,-292,0
401.20,44,1,1,0,0,0,-292,0
401.12,44,0,1,0,0,0,-292,0
407.92,30,0,1,0,0,0,800,1
408.05,30,0,1,0,0,0,800,1
407.55,30,0,1,0,0,0,800,1
407.36,30,0,1,0,0,0,800,1
407.24,30,0,1,0,0,0,800,1
407.33,30,0,1,0,0,0,800,1
407.33,30,0,1,0,0,0,800,1
407.33,30,0,1,0,0,0,800,1
407.33,30,0,1,0,0,0,800,1
407.33,30,0,1,0,0,0,800,1
412.12,30,0,1,0,0,0,400,1
413.11,30,0,1,0,0,0,400,1
413.17,30,0,1,0,0,0,400,1
413.97,30,0,1,0,0,0,400,1
416.14,30,0,1,0,0,0,400,1
417.14,30,0,1,0,0,0,400,1
417.20,30,0,1,0,0,0,400,1
417.99,30,0,1,0,0,0,400,1
419.61,30,0,1,0,0,0,269,1
420.96,30,0,1,0,0,0,269,1
420.26,30,0,1,0,0,0,269,1
419.74,30,0,1,0,0,0,269,1
419.04,30,0,1,0,0,0,269,1
420.04,30,0,1,0,0,0,269,1
420.10,30,0,1,0,0,0,269,1
425.36,30,0,1,0,0,0,800,1
425.49,30,0,1,0,0,0,800,1
424.99,30,0,1,0,0,0,800,1
424.81,30,0,1,0,0,0,800,1
424.69,30,0,1,0,0,0,800,1
424.78,30,0,1,0,0,0,800,1
424.78,30,0,1,0,0,0,800,1
424.78,30,0,1,0,0,0,800,1
424.78,30,0,1,0,0,0,800,1
424.78,30,0,1,0,0,0,800,1
425.36,15,0,1,0,0,0,650,0
425.49,15,0,1,0,0,0,650,0
424.99,15,0,1,0,0,0,650,0
424.81,15,0,1,0,0,0,650,0
425.20,30,0,1,0,0,0,400,1
426.20,30,0,1,0,0,0,400,1
426.26,30,0,1,0,0,0,400,1
427.05,30,0,1,0,0,0,400,1
425.11,30,0,1,0,0,0,-300,1
424.60,30,0,1,0,0,0,-300,1
423.75,30,0,1,0,0,0,-300,1
423.89,30,0,1,0,0,0,-300,1
423.81,30,0,1,0,0,0,-300,1
425.19,30,0,1,0,0,0,-300,1
427.46,30,0,1,0,0,0,-300,1
427.46,30,0,1,0,0,0,-300,1
425.11,30,0,1,0,0,0,-300,1
424.60,30,0,1,0,0,0,-300,1
423.75,30,0,1,0,0,0,-300,1
423.89,30,0,1,0,0,0,-300,1
423.81,30,0,1,0,0,0,-300,1
425.19,30,0,1,0,0,0,-300,1
421.96,30,0,1,0,0,0,-300,1
423.35,30,0,1,0,0,0,-300,1
431.82,30,0,1,0,0,0,-300,1
431.30,30,0,1,0,0,0,-300,1
430.46,30,0,1,0,0,0,-300,1
430.60,30,0,1,0,0,0,-300,1
430.52,30,0,1,0,0,0,-300,1
431.90,30,0,1,0,0,0,-300,1
434.75,15,0,1,0,0,0,650,0
434.88,15,0,1,0,0,0,650,0
434.39,15,0,1,0,0,0,650,0
434.20,15,0,1,0,0,0,650,0
434.75,15,0,1,0,0,0,650,0
434.88,15,0,1,0,0,0,650,0
434.39,15,0,1,0,0,0,650,0
434.20,15,0,1,0,0,0,650,0
428.12,30,0,1,0,0,0,200,1
434.16,30,0,1,0,0,0,200,1
435.51,30,0,1,0,0,0,200,1
434.81,30,0,1,0,0,0,200,1
434.29,30,0,1,0,0,0,200,1
433.59,30,0,1,0,0,0,200,1
435.44,30,0,1,0,0,0,600,1
435.56,30,0,1,0,0,0,600,1
436.10,30,0,1,0,0,0,600,1
436.23,30,0,1,0,0,0,600,1
435.73,30,0,1,0,0,0,600,1
434.93,30,0,1,0,0,0,400,1
435.93,30,0,1,0,0,0,400,1
435.98,30,0,1,0,0,0,400,1
436.78,30,0,1,0,0,0,400,1
434.93,30,0,1,0,0,0,400,1
435.93,30,0,1,0,0,0,400,1
435.98,30,0,1,0,0,0,400,1
436.78,30,0,1,0,0,0,400,1
437.44,15,0,1,0,0,0,650,0
437.57,15,0,1,0,0,0,650,0
437.07,15,0,1,0,0,0,650,0
436.89,15,0,1,0,0,0,650,0
436.85,30,0,1,0,0,0,200,1
438.19,30,0,1,0,0,0,200,1
437.49,30,0,1,0,0,0,200,1
436.97,30,0,1,0,0,0,200,1
436.27,30,0,1,0,0,0,200,1
438.53,30,0,1,0,0,0,-300,1
438.01,30,0,1,0,0,0,-300,1
437.17,30,0,1,0,0,0,-300,1
437.31,30,0,1,0,0,0,-300,1
437.23,30,0,1,0,0,0,-300,1
438.61,30,0,1,0,0,0,-300,1
438.53,30,0,1,0,0,0,-300,1
438.01,30,0,1,0,0,0,-300,1
437.17,30,0,1,0,0,0,-300,1
437.31,30,0,1,0,0,0,-300,1
437.23,30,0,1,0,0,0,-300,1
438.61,30,0,1,0,0,0,-300,1
438.53,30,0,1,0,0,0,-300,1
438.01,30,0,1,0,0,0,-300,1
437.17,30,0,1,0,0,0,-300,1
437.31,30,0,1,0,0,0,-300,1
437.23,30,0,1,0,0,0,-300,1
438.61,30,0,1,0,0,0,-300,1
441.46,30,0,1,0,0,0,700,1
441.59,30,0,1,0,0,0,700,1
441.10,30,0,1,0,0,0,700,1
440.91,30,0,1,0,0,0,700,1
440.79,30,0,1,0,0,0,700,1
440.88,30,0,1,0,0,0,700,1
437.23,30,0,1,0,0,0,-150,1
438.61,30,0,1,0,0,0,-150,1
435.38,30,0,1,0,0,0,-150,1
436.77,30,0,1,0,0,0,-150,1
439.87,30,0,1,0,0,0,-300,1
439.36,30,0,1,0,0,0,-300,1
438.51,30,0,1,0,0,0,-300,1
438.65,30,0,1,0,0,0,-300,1
438.57,30,0,1,0,0,0,-300,1
439.95,30,0,1,0,0,0,-300,1
444.15,30,0,1,0,0,0,800,1
444.28,30,0,1,0,0,0,800,1
443.78,30,0,1,0,0,0,800,1
443.60,30,0,1,0,0,0,800,1
443.47,30,0,1,0,0,0,800,1
443.56,30,0,1,0,0,0,800,1
443.56,30,0,1,0,0,0,800,1
443.56,30,0,1,0,0,0,800,1
443.56,30,0,1,0,0,0,800,1
443.56,30,0,1,0,0,0,800,1
441.22,30,0,1,0,0,0,-300,1
440.70,30,0,1,0,0,0,-300,1
439.85,30,0,1,0,0,0,-300,1
439.99,30,0,1,0,0,0,-300,1
439.91,30,0,1,0,0,0,-300,1
441.29,30,0,1,0,0,0,-300,1
441.04,30,0,1,0,0,0,400,1
440.56,30,0,1,0,0,0,400,1
441.48,30,0,1,0,0,0,400,1
441.61,30,0,1,0,0,0,400,1
442.22,30,0,1,0,0,0,400,1
442.35,30,0,1,0,0,0,400,1
442.89,30,0,1,0,0,0,400,1
442.56,30,0,1,0,0,0,-300,1
442.04,30,0,1,0,0,0,-300,1
441.19,30,0,1,0,0,0,-300,1
441.33,30,0,1,0,0,0,-300,1
441.25,30,0,1,0,0,0,-300,1
442.63,30,0,1,0,0,0,-300,1
444.04,3,0,1,0,0,0,458,0
444.83,3,1,1,0,0,0,458,0
444.95,3,0,1,0,0,0,458,0
446.07,30,0,1,0,0,0,269,1
447.41,30,0,1,0,0,0,269,1
446.72,30,0,1,0,0,0,269,1
446.19,30,0,1,0,0,0,269,1
445.49,30,0,1,0,0,0,269,1
446.49,30,0,1,0,0,0,269,1
446.55,30,0,1,0,0,0,269,1
445.24,30,0,1,0,0,0,-300,1
444.72,30,0,1,0,0,0,-300,1
443.88,30,0,1,0,0,0,-300,1
444.02,30,0,1,0,0,0,-300,1
443.94,30,0,1,0,0,0,-300,1
445.32,30,0,1,0,0,0,-300,1
445.24,30,0,1,0,0,0,-300,1
444.72,30,0,1,0,0,0,-300,1
443.88,30,0,1,0,0,0,-300,1
444.02,30,0,1,0,0,0,-300,1
443.94,30,0,1,0,0,0,-300,1
445.32,30,0,1,0,0,0,-300,1
445.24,30,0,1,0,0,0,-300,1
444.72,30,0,1,0,0,0,-300,1
443.88,30,0,1,0,0,0,-300,1
444.02,30,0,1,0,0,0,-300,1
443.94,30,0,1,0,0,0,-300,1
445.32,30,0,1,0,0,0,-300,1
443.56,30,0,1,0,0,0,400,1
443.08,30,0,1,0,0,0,400,1
444.00,30,0,1,0,0,0,400,1
444.13,30,0,1,0,0,0,400,1
444.74,30,0,1,0,0,0,400,1
444.87,30,0,1,0,0,0,400,1
447.71,30,0,1,0,0,0,400,1
447.01,30,0,1,0,0,0,400,1
448.00,30,0,1,0,0,0,400,1
448.06,30,0,1,0,0,0,400,1
448.86,30,0,1,0,0,0,400,1
448.98,30,0,1,0,0,0,400,1
448.35,30,0,1,0,0,0,400,1
449.34,30,0,1,0,0,0,400,1
449.40,30,0,1,0,0,0,400,1
450.20,30,0,1,0,0,0,400,1
450.61,30,0,1,0,0,0,-300,1
450.09,30,0,1,0,0,0,-300,1
449.24,30,0,1,0,0,0,-300,1
449.39,30,0,1,0,0,0,-300,1
449.30,30,0,1,0,0,0,-300,1
450.68,30,0,1,0,0,0,-300,1
446.35,30,0,1,0,0,0,269,1
447.59,30,0,1,0,0,0,269,1
446.86,30,0,1,0,0,0,269,1
446.54,30,0,1,0,0,0,269,1
446.06,30,0,1,0,0,0,269,1
446.98,30,0,1,0,0,0,269,1
447.11,30,0,1,0,0,0,269,1
454.30,29,0,1,0,0,0,500,0
453.60,29,0,1,0,0,0,500,0
453.07,29,0,1,0,0,0,500,0
452.37,29,0,1,0,0,0,500,0
453.37,29,0,1,0,0,0,500,0
453.43,29,0,1,0,0,0,500,0
454.23,29,0,1,0,0,0,500,0
454.35,29,0,1,0,0,0,500,0
454.88,29,0,1,0,0,0,500,0
455.01,29,0,1,0,0,0,500,0
454.52,29,0,1,0,0,0,500,0
454.33,29,0,1,0,0,0,500,0
454.21,29,0,1,0,0,0,500,0
454.30,29,0,1,0,0,0,500,0
453.27,44,0,1,0,0,0,-292,0
453.41,44,1,1,0,0,0,-292,0
455.98,30,0,1,0,0,0,-250,1
455.46,30,0,1,0,0,0,-250,1
454.61,30,0,1,0,0,0,-250,1
454.75,30,0,1,0,0,0,-250,1
454.67,30,0,1,0,0,0,-250,1
456.05,30,0,1,0,0,0,-250,1
452.82,30,0,1,0,0,0,-250,1
454.22,30,0,1,0,0,0,-250,1
460.25,15,0,1,0,0,0,650,0
460.38,15,0,1,0,0,0,650,0
459.88,15,0,1,0,0,0,650,0
459.70,15,0,1,0,0,0,650,0
453.62,30,0,1,0,0,0,200,1
459.66,30,0,1,0,0,0,200,1
461.00,30,0,1,0,0,0,200,1
460.31,30,0,1,0,0,0,200,1
459.78,30,0,1,0,0,0,200,1
459.08,30,0,1,0,0,0,200,1
458.66,30,0,1,0,0,0,-300,1
458.14,30,0,1,0,0,0,-300,1
457.30,30,0,1,0,0,0,-300,1
457.44,30,0,1,0,0,0,-300,1
457.36,30,0,1,0,0,0,-300,1
458.74,30,0,1,0,0,0,-300,1
461.00,29,0,1,0,0,0,500,0
460.31,29,0,1,0,0,0,500,0
459.78,29,0,1,0,0,0,500,0
459.08,29,0,1,0,0,0,500,0
460.08,29,0,1,0,0,0,500,0
460.14,29,0,1,0,0,0,500,0
460.94,29,0,1,0,0,0,500,0
461.06,29,0,1,0,0,0,500,0
461.59,29,0,1,0,0,0,500,0
461.72,29,0,1,0,0,0,500,0
461.23,29,0,1,0,0,0,500,0
461.04,29,0,1,0,0,0,500,0
460.92,29,0,1,0,0,0,500,0
461.01,29,0,1,0,0,0,500,0
460.14,3,0,1,0,0,0,450,0
460.94,3,1,1,0,0,0,450,0
461.59,30,0,1,0,0,0,700,1
461.72,30,0,1,0,0,0,700,1
461.23,30,0,1,0,0,0,700,1
461.04,30,0,1,0,0,0,700,1
460.92,30,0,1,0,0,0,700,1
461.01,30,0,1,0,0,0,700,1
461.59,15,0,1,0,0,0,650,0
461.72,15,0,1,0,0,0,650,0
461.23,15,0,1,0,0,0,650,0
461.04,15,0,1,0,0,0,650,0
462.35,30,0,1,0,0,0,-400,1
462.35,30,0,1,0,0,0,-400,1
462.35,30,0,1,0,0,0,-400,1
462.35,30,0,1,0,0,0,-400,1
460.00,30,0,1,0,0,0,-400,1
459.48,30,0,1,0,0,0,-400,1
458.64,30,0,1,0,0,0,-400,1
458.78,30,0,1,0,0,0,-400,1
458.70,30,0,1,0,0,0,-400,1
460.08,30,0,1,0,0,0,-400,1
462.35,30,0,1,0,0,0,-400,1
462.35,30,0,1,0,0,0,-400,1
462.35,30,0,1,0,0,0,-400,1
462.35,30,0,1,0,0,0,-400,1
460.00,30,0,1,0,0,0,-400,1
459.48,30,0,1,0,0,0,-400,1
458.64,30,0,1,0,0,0,-400,1
458.78,30,0,1,0,0,0,-400,1
458.70,30,0,1,0,0,0,-400,1
460.08,30,0,1,0,0,0,-400,1
462.93,15,0,1,0,0,0,650,0
463.06,15,0,1,0,0,0,650,0
462.57,15,0,1,0,0,0,650,0
462.38,15,0,1,0,0,0,650,0
464.28,15,0,1,0,0,0,650,0
464.40,15,0,1,0,0,0,650,0
463.91,15,0,1,0,0,0,650,0
463.72,15,0,1,0,0,0,650,0
458.78,30,0,1,0,0,0,113,1
458.93,30,0,1,0,0,0,113,1
465.02,30,0,1,0,0,0,113,1
462.69,30,0,1,0,0,0,-300,1
462.17,30,0,1,0,0,0,-300,1
461.32,30,0,1,0,0,0,-300,1
461.46,30,0,1,0,0,0,-300,1
461.38,30,0,1,0,0,0,-300,1
462.76,30,0,1,0,0,0,-300,1
464.03,30,0,1,0,0,0,-300,1
463.51,30,0,1,0,0,0,-300,1
462.66,30,0,1,0,0,0,-300,1
462.80,30,0,1,0,0,0,-300,1
462.72,30,0,1,0,0,0,-300,1
464.10,30,0,1,0,0,0,-300,1
466.37,29,0,1,0,0,0,500,0
465.67,29,0,1,0,0,0,500,0
465.15,29,0,1,0,0,0,500,0
464.45,29,0,1,0,0,0,500,0
465.45,29,0,1,0,0,0,500,0
465.51,29,0,1,0,0,0,500,0
466.30,29,0,1,0,0,0,500,0
466.42,29,0,1,0,0,0,500,0
466.96,29,0,1,0,0,0,500,0
467.09,29,0,1,0,0,0,500,0
466.59,29,0,1,0,0,0,500,0
466.41,29,0,1,0,0,0,500,0
466.28,29,0,1,0,0,0,500,0
466.38,29,0,1,0,0,0,500,0
465.45,30,0,1,0,0,0,475,1
465.51,30,0,1,0,0,0,475,1
466.30,30,0,1,0,0,0,475,1
466.42,30,0,1,0,0,0,475,1
466.96,30,0,1,0,0,0,475,1
468.03,3,0,1,0,0,0,-200,0
468.17,3,0,1,0,0,0,-200,0
468.09,3,0,1,0,0,0,-200,0
469.47,3,0,1,0,0,0,-200,0
466.24,3,0,1,0,0,0,-200,0
467.63,3,0,1,0,0,0,-200,0
476.35,15,0,1,0,0,0,650,0
476.48,15,0,1,0,0,0,650,0
475.99,15,0,1,0,0,0,650,0
475.80,15,0,1,0,0,0,650,0
477.69,30,0,1,0,0,0,800,1
477.82,30,0,1,0,0,0,800,1
477.33,30,0,1,0,0,0,800,1
477.14,30,0,1,0,0,0,800,1
477.02,30,0,1,0,0,0,800,1
477.11,30,0,1,0,0,0,800,1
477.11,30,0,1,0,0,0,800,1
477.11,30,0,1,0,0,0,800,1
477.11,30,0,1,0,0,0,800,1
477.11,30,0,1,0,0,0,800,1
470.63,30,0,1,0,0,0,150,1
476.67,30,0,1,0,0,0,150,1
478.01,30,0,1,0,0,0,150,1
477.31,30,0,1,0,0,0,150,1
482.48,30,0,1,0,0,0,-400,1
482.48,30,0,1,0,0,0,-400,1
482.48,30,0,1,0,0,0,-400,1
482.48,30,0,1,0,0,0,-400,1
480.13,30,0,1,0,0,0,-400,1
479.61,30,0,1,0,0,0,-400,1
478.77,30,0,1,0,0,0,-400,1
478.91,30,0,1,0,0,0,-400,1
478.83,30,0,1,0,0,0,-400,1
480.21,30,0,1,0,0,0,-400,1
490.87,30,0,1,0,0,0,-300,1
490.35,30,0,1,0,0,0,-300,1
489.50,30,0,1,0,0,0,-300,1
489.64,30,0,1,0,0,0,-300,1
489.56,30,0,1,0,0,0,-300,1
490.94,30,0,1,0,0,0,-300,1
403.20,30,0,1,0,0,0,650,1
403.07,30,0,1,0,0,0,650,1
403.01,30,0,1,0,0,0,650,1
403.12,30,0,1,0,0,0,650,1
402.48,30,0,1,0,0,0,650,1
402.35,30,0,1,0,0,0,650,1
402.33,30,0,1,0,0,0,650,1
402.50,30,0,1,0,0,0,650,1
404.15,30,0,1,0,0,0,800,1
404.26,30,0,1,0,0,0,800,1
403.62,30,0,1,0,0,0,800,1
403.48,30,0,1,0,0,0,800,1
403.47,30,0,1,0,0,0,800,1
403.63,30,0,1,0,0,0,800,1
403.63,30,0,1,0,0,0,800,1
403.63,30,0,1,0,0,0,800,1
403.63,30,0,1,0,0,0,800,1
403.63,30,0,1,0,0,0,800,1
405.92,30,0,1,0,0,0,-390,1
405.32,30,1,1,0,0,0,-390,1
403.61,30,0,1,0,0,0,-390,1
410.98,30,0,1,0,0,0,800,1
411.09,30,0,1,0,0,0,800,1
410.45,30,0,1,0,0,0,800,1
410.31,30,0,1,0,0,0,800,1
410.30,30,0,1,0,0,0,800,1
410.46,30,0,1,0,0,0,800,1
410.46,30,0,1,0,0,0,800,1
410.46,30,0,1,0,0,0,800,1
410.46,30,0,1,0,0,0,800,1
410.46,30,0,1,0,0,0,800,1
408.75,30,0,1,0,0,0,200,1
